"","거래내역"
"","","","","","","","","","","","","","","","2026-02-24 오전 6:43:34"
"","계좌번호 :","270-24-***411","U.S ETF","상품 :","01","거래구분 :","전체","정렬 :","일자순","20250101","~","20260224"
"","일자","구분","종목번호","수량","","거래대금","미수발생/변제","","세전이자","수수료","","연체료","상대처","변동금액","대출일","처리자"
"","2025/01/10","환전출금","KRW","0","623076",".",".","0",".","","623076.","","","","",""
"","01","","","0",".",".",".",".","","",".","","","","",""
"","2025/01/10","환전입금","USD","0","426.58",".",".","0",".","","426.","","","","",""
"","01","","","1460.6",".",".",".",".","","","718.","","","","",""
"","2025/01/14","해외증권_해외주식매수","US93627C1018","1","50.93",".",".",".04",".","","50.","","","","",""
"","01","해외주식매수","워리어 멧 콜","50.93",".",".",".",".","신한 SOL(HTS) 고객용","USD","667.","","","","",""
"","2025/01/14","해외증권_해외주식매수","BMG0450A1053","1","90.6",".",".",".07",".","","90.","","","","",""
"","01","해외주식매수","아치 캐피털 그룹","90.6",".",".",".",".","신한 SOL(HTS) 고객용","USD","577.","","","","",""
"","2025/01/14","해외증권_해외주식매수","US93627C1018","1","50.94",".",".",".04",".","","50.","","","","",""
"","01","해외주식매수","워리어 멧 콜","50.94",".",".",".",".","신한 SOL(HTS) 고객용","USD","526.","","","","",""
"","2025/01/14","해외증권_해외주식매수","US88642R1095","1","55.83",".",".",".04",".","","55.","","","","",""
"","01","해외주식매수","타이드워터","55.83",".",".",".",".","신한 SOL(HTS) 고객용","USD","470.","","","","",""
"","2025/01/15","해외증권_해외주식매수","US88642R1095","1","55.39",".",".",".04",".","","55.","","","","",""
"","01","해외주식매수","타이드워터","55.39",".",".",".",".","신한 SOL(HTS) 고객용","USD","414.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/01/15","해외증권_해외주식매수","US93627C1018","1","50.77",".",".",".04",".","","50.","","","","",""
"","01","해외주식매수","워리어 멧 콜","50.77",".",".",".",".","신한 SOL(HTS) 고객용","USD","363.","","","","",""
"","2025/01/15","해외증권_해외주식매수","US88642R1095","1","55.14",".",".",".04",".","","55.","","","","",""
"","01","해외주식매수","타이드워터","55.14",".",".",".",".","신한 SOL(HTS) 고객용","USD","308.","","","","",""
"","2025/01/17","해외증권_해외주식매수","US93627C1018","2","107.32",".",".",".09",".","","107.","","","","",""
"","01","해외주식매수","워리어 멧 콜","53.66",".",".",".",".","신한 SOL(HTS) 고객용","USD","201.","","","","",""
"","2025/01/17","해외증권_해외주식매수","US88642R1095","2","111.46",".",".",".09",".","","111.","","","","",""
"","01","해외주식매수","타이드워터","55.73",".",".",".",".","신한 SOL(HTS) 고객용","USD","89.","","","","",""
"","2025/01/17","해외증권_해외주식매수","US93627C1018","1","53.9",".",".",".04",".","","53.","","","","",""
"","01","해외주식매수","워리어 멧 콜","53.9",".",".",".",".","신한 SOL(HTS) 고객용","USD","35.","","","","",""
"","2025/01/17","외화RP매도입금","USD","0","6004.6",".",".","0",".","","6004.","","","","",""
"","01","","","1454.7",".",".",".",".","","","6040.","","","","",""
"","2025/01/17","환전출금","USD","0",".7",".",".","0",".","",".","","","","",""
"","01","","","1454.7",".",".",".",".","","","6039.","","","","",""
"","2025/01/17","환전입금","KRW","0","1020",".",".","0",".","","1020.","","","","",""
"","01","","","0",".",".",".",".","","","1020.","","","","",""
"","2025/01/17","외화RP원천징수","2611","0","1020",".",".","0",".","","1020.","","","","",""
"","01","","외화RP약정_온라인","0",".",".",".","1020.","","",".","","","","",""
"","2025/01/17","외화RP매수출금","USD","0","5000",".",".","0",".","","5000.","","","","",""
"","01","","","1454.7",".",".",".",".","","","1039.","","","","",""
"","2025/01/22","해외증권_해외주식매수","US88642R1095","1","54.54",".",".",".04",".","","54.","","","","",""
"","01","해외주식매수","타이드워터","54.54",".",".",".",".","신한 SOL증권(Android)","USD","985.","","","","",""
"","2025/01/22","해외증권_해외주식매수","US88642R1095","1","54.14",".",".",".04",".","","54.","","","","",""
"","01","해외주식매수","타이드워터","54.14",".",".",".",".","신한 SOL증권(Android)","USD","930.","","","","",""
"","2025/01/22","해외증권_해외주식매수","BMG0450A1053","1","96.11",".",".",".08",".","","96.","","","","",""
"","01","해외주식매수","아치 캐피털 그룹","96.11",".",".",".",".","신한 SOL증권(Android)","USD","834.","","","","",""
"","2025/01/23","해외증권_해외주식매수","US88642R1095","1","55.18",".",".",".04",".","","55.","","","","",""
"","01","해외주식매수","타이드워터","55.18",".",".",".",".","신한 SOL(HTS) 고객용","USD","779.","","","","",""
"","2025/01/23","해외증권_해외주식매수","US88642R1095","1","54.94",".",".",".04",".","","54.","","","","",""
"","01","해외주식매수","타이드워터","54.94",".",".",".",".","신한 SOL(HTS) 고객용","USD","724.","","","","",""
"","2025/01/23","해외증권_해외주식매수","US93627C1018","1","56.45",".",".",".05",".","","56.","","","","",""
"","01","해외주식매수","워리어 멧 콜","56.45",".",".",".",".","신한 SOL(HTS) 고객용","USD","668.","","","","",""
"","2025/01/23","해외증권_해외주식매수","BMG0450A1053","1","95.53",".",".",".08",".","","95.","","","","",""
"","01","해외주식매수","아치 캐피털 그룹","95.53",".",".",".",".","신한 SOL(HTS) 고객용","USD","572.","","","","",""
"","2025/01/23","해외증권_해외주식매수","US1999081045","1","510.46",".",".",".41",".","","510.","","","","",""
"","01","해외주식매수","컴포트 시스템스 USA","510.46",".",".",".",".","신한 SOL(HTS) 고객용","USD","61.","","","","",""
"","2025/01/24","해외증권_해외주식매수","US93627C1018","1","56.57",".",".",".05",".","","56.","","","","",""
"","01","해외주식매수","워리어 멧 콜","56.57",".",".",".",".","신한 SOL(HTS) 고객용","USD","4.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/01/24","외화RP매도입금","USD","0","5003.83",".",".","0",".","","5003.","","","","",""
"","01","","","1437.1",".",".",".",".","","","5008.","","","","",""
"","2025/01/24","환전출금","USD","0",".58",".",".","0",".","",".","","","","",""
"","01","","","1437.1",".",".",".",".","","","5008.","","","","",""
"","2025/01/24","환전입금","KRW","0","840",".",".","0",".","","840.","","","","",""
"","01","","","0",".",".",".",".","","","840.","","","","",""
"","2025/01/24","외화RP원천징수","2611","0","840",".",".","0",".","","840.","","","","",""
"","01","","외화RP약정_온라인","0",".",".",".","840.","","",".","","","","",""
"","2025/01/24","외화RP매수출금","USD","0","4000",".",".","0",".","","4000.","","","","",""
"","01","","","1437.1",".",".",".",".","","","1008.","","","","",""
"","2025/01/24","환전출금","JPY","0","200000",".",".","0",".","","200000.","","","","",""
"","01","","","913.31",".",".",".",".","","","300000.","","","","",""
"","2025/01/24","환전입금","KRW","0","1826620",".",".","0",".","","1826620.","","","","",""
"","01","","","0",".",".",".",".","","","1826620.","","","","",""
"","2025/01/31","해외증권_해외주식매수","US93627C1018","2","109.53",".",".",".09",".","","109.","","","","",""
"","01","해외주식매수","워리어 멧 콜","54.765",".",".",".",".","신한 SOL(HTS) 고객용","USD","898.","","","","",""
"","2025/01/31","해외증권_해외주식매수","US88642R1095","2","110.62",".",".",".09",".","","110.","","","","",""
"","01","해외주식매수","타이드워터","55.31",".",".",".",".","신한 SOL(HTS) 고객용","USD","787.","","","","",""
"","2025/01/31","해외증권_해외주식매수","BMG0450A1053","1","92.71",".",".",".07",".","","92.","","","","",""
"","01","해외주식매수","아치 캐피털 그룹","92.71",".",".",".",".","신한 SOL(HTS) 고객용","USD","695.","","","","",""
"","2025/01/31","해외증권_해외주식매수","US88642R1095","2","110.74",".",".",".09",".","","110.","","","","",""
"","01","해외주식매수","타이드워터","55.37",".",".",".",".","신한 SOL(HTS) 고객용","USD","584.","","","","",""
"","2025/01/31","해외증권_해외주식매수","US93627C1018","2","106.345",".",".",".09",".","","106.","","","","",""
"","01","해외주식매수","워리어 멧 콜","53.172",".",".",".",".","신한 SOL(HTS) 고객용","USD","477.","","","","",""
"","2025/01/31","해외증권_해외주식매수","US88642R1095","2","110.4",".",".",".09",".","","110.","","","","",""
"","01","해외주식매수","타이드워터","55.2",".",".",".",".","신한 SOL(HTS) 고객용","USD","367.","","","","",""
"","2025/01/31","해외증권_해외주식매수","US93627C1018","1","53.37",".",".",".04",".","","53.","","","","",""
"","01","해외주식매수","워리어 멧 콜","53.37",".",".",".",".","신한 SOL(HTS) 고객용","USD","313.","","","","",""
"","2025/01/31","해외증권_해외주식매수","US88642R1095","2","107.85",".",".",".09",".","","107.","","","","",""
"","01","해외주식매수","타이드워터","53.925",".",".",".",".","신한 SOL증권(Android)","USD","206.","","","","",""
"","2025/01/31","해외증권_해외주식매수","US93627C1018","1","53.22",".",".",".04",".","","53.","","","","",""
"","01","해외주식매수","워리어 멧 콜","53.22",".",".",".",".","신한 SOL증권(Android)","USD","152.","","","","",""
"","2025/01/31","해외증권_해외주식매수","BMG0450A1053","1","95.27",".",".",".08",".","","95.","","","","",""
"","01","해외주식매수","아치 캐피털 그룹","95.27",".",".",".",".","신한 SOL증권(Android)","USD","57.","","","","",""
"","2025/01/31","외화RP매도입금","USD","0","4003.06",".",".","0",".","","4003.","","","","",""
"","01","","","1433.3",".",".",".",".","","","4060.","","","","",""
"","2025/01/31","환전출금","USD","0",".46",".",".","0",".","",".","","","","",""
"","01","","","1433.3",".",".",".",".","","","4060.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/01/31","환전입금","KRW","0","670",".",".","0",".","","670.","","","","",""
"","01","","","0",".",".",".",".","","","1828018.","","","","",""
"","2025/01/31","외화RP원천징수","2611","0","670",".",".","0",".","","670.","","","","",""
"","01","","외화RP약정_온라인","0",".",".",".","670.","","","1827348.","","","","",""
"","2025/01/31","외화RP매수출금","USD","0","3000",".",".","0",".","","3000.","","","","",""
"","01","","미국달러","1433.3",".",".",".",".","","","1060.","","","","",""
"","2025/01/31","환전출금","JPY","0","100000",".",".","0",".","","100000.","","","","",""
"","01","","일본엔(100)","933.71",".",".",".",".","","","200000.","","","","",""
"","2025/01/31","환전입금","KRW","0","933710",".",".","0",".","","933710.","","","","",""
"","01","","대한민국원","0",".",".",".",".","","","2761058.","","","","",""
"","2025/01/31","계좌대체출금","","0","300000",".",".","0",".","신한투자증권","300000.","","","","",""
"","01","출금","현민재","0",".",".",".",".","2703868749001","현민재","2461058.","","","","",""
"","2025/02/03","해외증권_해외주식매수","US88642R1095","1","54.64",".",".",".04",".","","54.","","","","",""
"","01","해외주식매수","타이드워터","54.64",".",".",".",".","신한 SOL(HTS) 고객용","USD","1005.","","","","",""
"","2025/02/03","환전출금","JPY","0","50000",".",".","0",".","","50000.","","","","",""
"","01","","","935.07",".",".",".",".","","","150000.","","","","",""
"","2025/02/03","환전입금","KRW","0","467535",".",".","0",".","","467535.","","","","",""
"","01","","","0",".",".",".",".","","","2929028.","","","","",""
"","2025/02/03","은행이체입금","","0","1400000",".",".","0",".","","1400000.","","","","",""
"","01","입금","신한증권오픈뱅킹","0",".",".",".",".","","신한증권오픈뱅킹","4329028.","","","","",""
"","2025/02/03","계좌대체출금","","0","600000",".",".","0",".","신한투자증권","600000.","","","","",""
"","01","출금","현민재","0",".",".",".",".","2703868749001","현민재","3729028.","","","","",""
"","2025/02/05","해외증권_해외주식매수","US88642R1095","3","158.4",".",".",".13",".","","158.","","","","",""
"","01","해외주식매수","타이드워터","52.8",".",".",".",".","신한 SOL(HTS) 고객용","USD","846.","","","","",""
"","2025/02/05","해외증권_해외주식매수","US93627C1018","1","51.99",".",".",".04",".","","52.","","","","",""
"","01","해외주식매수","워리어 멧 콜","51.99",".",".",".",".","신한 SOL(HTS) 고객용","USD","794.","","","","",""
