"","거래내역"
"","","","","","","","","","","","","","","","2026-02-24 오전 6:43:34"
"","계좌번호 :","270-24-***411","U.S ETF","상품 :","01","거래구분 :","전체","정렬 :","일자순","20250101","~","20260224"
"","일자","구분","종목번호","수량","","거래대금","미수발생/변제","","세전이자","수수료","","연체료","상대처","변동금액","대출일","처리자"
"","01","해외주식매수","유나이티드 스테이츠","103.14",".",".",".",".","신한 SOL(HTS) 고객용","USD","1561.","","","","",""
"","2025/02/21","해외증권_해외주식매수","BMG4809J1062","4","109.96",".",".",".09",".","","110.","","","","",""
"","01","해외주식매수","인터내셔널 제너럴 인","27.49",".",".",".",".","신한 SOL(HTS) 고객용","USD","1451.","","","","",""
"","2025/02/28","해외증권_해외주식매수","US9119221029","2","193.24",".",".",".15",".","","193.","","","","",""
"","01","해외주식매수","유나이티드 스테이츠","96.62",".",".",".",".","신한 SOL(HTS) 고객용","USD","1258.","","","","",""
"","2025/02/28","해외증권_해외주식매수","BMG4809J1062","8","216.36",".",".",".17",".","","216.","","","","",""
"","01","해외주식매수","인터내셔널 제너럴 인","27.045",".",".",".",".","신한 SOL(HTS) 고객용","USD","1041.","","","","",""
"","2025/03/04","해외배당금","USD","0","2.8",".",".","0",".","","2.","","","","",""
"","01","","워리어 멧 콜(미국달러)","0",".",".",".",".","","","1044.","","","","",""
"","2025/03/04","외국납부세액","USD","0",".42",".",".","0",".","",".","","","","",""
"","01","","워리어 멧 콜(미국달러)","0",".",".",".",".","","","1044.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/03/05","은행이체입금","","0","32873",".",".","0",".","","32873.","","","","",""
"","01","입금","신한증권오픈뱅킹","0",".",".",".",".","","신한증권오픈뱅킹","32927.","","","","",""
"","2025/03/05","해외증권_해외주식매수","US88642R1095","3","126.585",".",".",".1",".","","126.","","","","",""
"","01","해외주식매수","타이드워터","42.195",".",".",".",".","신한 SOL증권(Android)","USD","917.","","","","",""
"","2025/03/05","해외증권_해외주식매수","US88642R1095","2","81.12",".",".",".06",".","","81.","","","","",""
"","01","해외주식매수","타이드워터","40.56",".",".",".",".","신한 SOL(HTS) 고객용","USD","836.","","","","",""
"","2025/03/05","해외증권_해외주식매수","US88642R1095","10","405.55",".",".",".32",".","","405.","","","","",""
"","01","해외주식매수","타이드워터","40.555",".",".",".",".","신한 SOL(HTS) 고객용","USD","430.","","","","",""
"","2025/03/05","해외증권_해외주식매수","US88642R1095","3","121.125",".",".",".1",".","","121.","","","","",""
"","01","해외주식매수","타이드워터","40.375",".",".",".",".","신한 SOL(HTS) 고객용","USD","309.","","","","",""
"","2025/03/05","해외배당금","USD","0",".34",".",".","0",".","",".","","","","",""
"","01","","아이라디메드(미국달러)","0",".",".",".",".","","","309.","","","","",""
"","2025/03/05","외국납부세액","USD","0",".05",".",".","0",".","",".","","","","",""
"","01","","아이라디메드(미국달러)","0",".",".",".",".","","","309.","","","","",""
"","2025/03/14","해외배당금","USD","0",".18",".",".","0",".","",".","","","","",""
"","01","","유나이티드 스테이?미국달러)","0",".",".",".",".","","","309.","","","","",""
"","2025/03/14","외국납부세액","USD","0",".03",".",".","0",".","",".","","","","",""
"","01","","유나이티드 스테이?미국달러)","0",".",".",".",".","","","309.","","","","",""
"","2025/03/21","해외배당금","USD","0",".8",".",".","0",".","",".","","","","",""
"","01","","컴포트 시스템스 US(미국달러)","0",".",".",".",".","","","310.","","","","",""
"","2025/03/21","외국납부세액","USD","0",".12",".",".","0",".","",".","","","","",""
"","01","","컴포트 시스템스 US(미국달러)","0",".",".",".",".","","","310.","","","","",""
"","2025/03/24","은행이체입금","","0","300000",".",".","0",".","","300000.","","","","",""
"","01","입금","신한증권오픈뱅킹","0",".",".",".",".","","신한증권오픈뱅킹","332964.","","","","",""
"","2025/04/07","해외증권_해외주식매수","US88642R1095","8","298.16",".",".",".24",".","","298.","","","","",""
"","01","해외주식매수","타이드워터","37.27",".",".",".",".","신한 SOL증권(Android)","USD","11.","","","","",""
"","2025/04/07","해외증권_해외주식매수","US9119221029","1","87.44","75.",".",".07",".","","87.","","","","",""
"","01","해외주식매수","유나이티드 스테이츠","87.44",".",".",".",".","신한 SOL증권(Android)","USD","-75.","","","","",""
"","2025/04/07","환전출금","KRW","0","113170",".",".","0",".","","113170.","","","","",""
"","01","","","0",".",".",".",".","","","220022.","","","","",""
"","2025/04/07","환전입금","USD","0","75.76","75.",".","0",".","","75.","","","","",""
"","01","","","1493.79",".",".",".",".","","",".","","","","",""
"","2025/04/07","기타가환전차액입금","","0","2120",".",".","0",".","","2120.","","","","",""
"","01","가환전차액입금","USD","1465.8",".",".",".",".","","USD","222142.","","","","",""
"","2025/04/08","은행이체입금","","0","1400000",".",".","0",".","","1400000.","","","","",""
"","01","입금","신한증권오픈뱅킹","0",".",".",".",".","","신한증권오픈뱅킹","1622155.","","","","",""
"","2025/04/10","해외증권_해외주식매수","BMG4809J1062","2","45.26","45.",".",".04",".","","45.","","","","",""
"","01","해외주식매수","인터내셔널 제너럴 인","22.63",".",".",".",".","신한 SOL증권(Android)","USD","-45.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/04/10","해외증권_해외주식매수","US88642R1095","2","70.9","70.",".",".06",".","","70.","","","","",""
"","01","해외주식매수","타이드워터","35.45",".",".",".",".","신한 SOL증권(Android)","USD","-116.","","","","",""
"","2025/04/10","해외증권_해외주식매수","US88642R1095","2","69.59","69.",".",".06",".","","69.","","","","",""
"","01","해외주식매수","타이드워터","34.795",".",".",".",".","신한 SOL증권(Android)","USD","-185.","","","","",""
"","2025/04/10","해외증권_해외주식매수","US1999081045","1","325.98","326.",".",".26",".","","326.","","","","",""
"","01","해외주식매수","컴포트 시스템스 USA","325.98",".",".",".",".","신한 SOL증권(Android)","USD","-512.","","","","",""
"","2025/04/10","해외증권_해외주식매수","US88642R1095","3","101.7","101.",".",".08",".","","101.","","","","",""
"","01","해외주식매수","타이드워터","33.9",".",".",".",".","신한 SOL증권(Android)","USD","-613.","","","","",""
"","2025/04/10","환전출금","KRW","0","922731",".",".","0",".","","922731.","","","","",""
"","01","","","0",".",".",".",".","","","699552.","","","","",""
"","2025/04/10","환전입금","USD","0","613.93","613.",".","0",".","","613.","","","","",""
"","01","","","1502.99",".",".",".",".","","",".","","","","",""
"","2025/04/10","기타가환전차액입금","","0","27621",".",".","0",".","","27621.","","","","",""
"","01","가환전차액입금","USD","1458",".",".",".",".","","USD","727173.","","","","",""
"","2025/04/11","해외증권_해외주식매수","US88642R1095","6","189.54","189.",".",".15",".","","189.","","","","",""
"","01","해외주식매수","타이드워터","31.59",".",".",".",".","신한 SOL증권(Android)","USD","-189.","","","","",""
"","2025/04/11","환전출금","KRW","0","281423",".",".","0",".","","281423.","","","","",""
"","01","","","0",".",".",".",".","","","445776.","","","","",""
"","2025/04/11","환전입금","USD","0","189.69","189.",".","0",".","","189.","","","","",""
"","01","","","1483.59",".",".",".",".","","",".","","","","",""
"","2025/04/11","기타가환전차액입금","","0","5575",".",".","0",".","","5575.","","","","",""
"","01","가환전차액입금","USD","1454.2",".",".",".",".","","USD","451351.","","","","",""
"","2025/04/22","외국납부세액","USD","0","1.41",".",".","0",".","","1.","","","","",""
"","01","","VANGUARD LONG TERM BOND(미국달러)","0",".",".",".",".","","환급(20240206-3)","1.","","","","",""
"","2025/04/22","외국납부세액","USD","0",".12",".",".","0",".","",".","","","","",""
"","01","","VANGUARD LONG TERM BOND(미국달러)","0",".",".",".",".","US9219377937","추징(20240206-3)","1.","","","","",""
"","2025/04/22","추징세금(배당)","US9219377937","0","1770",".",".","0",".","","1770.","","","","",""
"","01","","VANGUARD LONG TERM BOND","0",".",".",".","1770.","US9219377937","20240206-3","449839.","","","","",""
"","2025/04/22","외국납부세액","USD","0","1.26",".",".","0",".","","1.","","","","",""
"","01","","VANGUARD LONG TERM BOND(미국달러)","0",".",".",".",".","","환급(20240306-3)","2.","","","","",""
"","2025/04/22","외국납부세액","USD","0",".12",".",".","0",".","",".","","","","",""
"","01","","VANGUARD LONG TERM BOND(미국달러)","0",".",".",".",".","US9219377937","추징(20240306-3)","2.","","","","",""
"","2025/04/22","추징세금(배당)","US9219377937","0","1550",".",".","0",".","","1550.","","","","",""
"","01","","VANGUARD LONG TERM BOND","0",".",".",".","1550.","US9219377937","20240306-3","448289.","","","","",""
"","2025/04/22","외국납부세액","USD","0","1.43",".",".","0",".","","1.","","","","",""
"","01","","VANGUARD LONG TERM BOND(미국달러)","0",".",".",".",".","","환급(20240404-3)","3.","","","","",""
"","2025/04/22","외국납부세액","USD","0",".14",".",".","0",".","",".","","","","",""
"","01","","VANGUARD LONG TERM BOND(미국달러)","0",".",".",".",".","US9219377937","추징(20240404-3)","3.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/04/22","추징세금(배당)","US9219377937","0","1790",".",".","0",".","","1790.","","","","",""
"","01","","VANGUARD LONG TERM BOND","0",".",".",".","1790.","US9219377937","20240404-3","446498.","","","","",""
"","2025/04/23","외국납부세액","USD","0","1.32",".",".","0",".","","1.","","","","",""
"","01","","VANGUARD LONG TERM BOND(미국달러)","0",".",".",".",".","","환급(20240507-3)","5.","","","","",""
"","2025/04/23","외국납부세액","USD","0",".13",".",".","0",".","",".","","","","",""
"","01","","VANGUARD LONG TERM BOND(미국달러)","0",".",".",".",".","US9219377937","추징(20240507-3)","4.","","","","",""
"","2025/04/23","추징세금(배당)","US9219377937","0","1670",".",".","0",".","","1670.","","","","",""
"","01","","VANGUARD LONG TERM BOND","0",".",".",".","1670.","US9219377937","20240507-3","444854.","","","","",""
"","2025/04/23","외국납부세액","USD","0","2.03",".",".","0",".","","2.","","","","",""
"","01","","VANGUARD LONG TERM BOND(미국달러)","0",".",".",".",".","","환급(20240605-3)","6.","","","","",""
"","2025/04/23","외국납부세액","USD","0",".19",".",".","0",".","",".","","","","",""
"","01","","VANGUARD LONG TERM BOND(미국달러)","0",".",".",".",".","US9219377937","추징(20240605-3)","6.","","","","",""
"","2025/04/23","추징세금(배당)","US9219377937","0","2580",".",".","0",".","","2580.","","","","",""
"","01","","VANGUARD LONG TERM BOND","0",".",".",".","2580.","US9219377937","20240605-3","442274.","","","","",""
"","2025/04/23","해외배당금","USD","0","17",".",".","0",".","","17.","","","","",""
"","01","","인터내셔널 제너럴 (미국달러)","0",".",".",".",".","","","23.","","","","",""
"","2025/04/23","배당세","BMG4809J1062","0","3710",".",".","0",".","","3710.","","","","",""
"","01","","인터내셔널 제너럴 (미국달러)","0",".",".",".","3710.","","","438564.","","","","",""
"","2025/04/23","해외배당금","USD","0",".5",".",".","0",".","",".","","","","",""
"","01","","인터내셔널 제너럴 (미국달러)","0",".",".",".",".","","","24.","","","","",""
"","2025/04/23","외국납부세액","USD","0","2.01",".",".","0",".","","2.","","","","",""
"","01","","VANGUARD LONG TERM BOND(미국달러)","0",".",".",".",".","","환급(20240703-3)","26.","","","","",""
"","2025/04/23","외국납부세액","USD","0",".19",".",".","0",".","",".","","","","",""
"","01","","VANGUARD LONG TERM BOND(미국달러)","0",".",".",".",".","US9219377937","추징(20240703-3)","26.","","","","",""
"","2025/04/23","추징세금(배당)","US9219377937","0","2580",".",".","0",".","","2580.","","","","",""
"","01","","VANGUARD LONG TERM BOND","0",".",".",".","2580.","US9219377937","20240703-3","435983.","","","","",""
"","2025/04/25","해외증권_해외주식매수","JP3637270004","2","3990","4000.",".","10",".","","4000.","","","","",""
"","01","해외주식매수","트레져팩토리","1995",".",".",".",".","신한 SOL증권(Android)","JPY","-4000.","","","","",""
"","2025/04/25","환전출금","KRW","0","41002",".",".","0",".","","41002.","","","","",""
"","01","","","0",".",".",".",".","","","395028.","","","","",""
"","2025/04/25","환전입금","JPY","0","4000","4000.",".","0",".","","4000.","","","","",""
"","01","","","1025.05",".",".",".",".","","",".","","","","",""
"","2025/04/25","기타가환전차액입금","","0","511",".",".","0",".","","511.","","","","",""
"","01","가환전차액입금","JPY","1012.27",".",".",".",".","","JPY","395539.","","","","",""
"","2025/05/07","해외증권_해외주식매수","US03676B1026","6","102.48","76.",".",".08",".","","102.","","","","",""
"","01","해외주식매수","앤테로 미드스트림","17.08",".",".",".",".","신한 SOL증권(Android)","USD","-76.","","","","",""
"","2025/05/07","환전출금","KRW","0","108104",".",".","0",".","","108104.","","","","",""
"","01","","","0",".",".",".",".","","","287655.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/05/07","환전입금","USD","0","76.49","76.",".","0",".","","76.","","","","",""
"","01","","","1413.3",".",".",".",".","","",".","","","","",""
"","2025/05/07","기타가환전차액입금","","0","2191",".",".","0",".","","2191.","","","","",""
"","01","가환전차액입금","USD","1384.66",".",".",".",".","","USD","289846.","","","","",""
"","2025/05/12","해외증권_해외주식매도","BMG0450A1053","11","1029.38",".",".",".85",".","","1028.","","","","",""
"","01","해외주식매도","아치 캐피털 그룹","93.58",".",".",".",".","신한 SOL증권(Android)","USD","1028.","","","","",""
"","2025/05/12","해외증권_해외주식매수","US0008991046","5","104.3",".",".",".08",".","","104.","","","","",""
"","01","해외주식매수","ADMA 바이오로직스","20.86",".",".",".",".","신한 SOL증권(Android)","USD","924.","","","","",""
"","2025/05/12","해외증권_해외주식매수","US9119221029","5","495.7",".",".",".4",".","","496.","","","","",""
"","01","해외주식매수","유나이티드 스테이츠","99.14",".",".",".",".","신한 SOL증권(Android)","USD","428.","","","","",""
"","2025/05/12","해외배당금","USD","0","2.8",".",".","0",".","","2.","","","","",""
"","01","","워리어 멧 콜(미국달러)","0",".",".",".",".","","","430.","","","","",""
"","2025/05/12","외국납부세액","USD","0",".42",".",".","0",".","",".","","","","",""
"","01","","워리어 멧 콜(미국달러)","0",".",".",".",".","","","430.","","","","",""
"","2025/05/15","해외증권_해외주식매수","US88642R1095","9","387.63",".",".",".31",".","","387.","","","","",""
"","01","해외주식매수","타이드워터","43.07",".",".",".",".","신한 SOL증권(Android)","USD","42.","","","","",""
"","2025/05/15","계좌대체입금","","0","8996194",".",".","0",".","","8996194.","","","","",""
"","01","입금","현민재","0",".",".",".",".","","현민재","9286161.","","","","",""
"","2025/05/16","해외증권_해외주식매수","JP3637270004","3","6153","6168.",".","15",".","","6168.","","","","",""
"","01","해외주식매수","트레져팩토리","2051",".",".",".",".","신한 SOL증권(Android)","JPY","-6168.","","","","",""
"","2025/05/16","환전출금","KRW","0","60485",".",".","0",".","","60485.","","","","",""
"","01","","","0",".",".",".",".","","","9226161.","","","","",""
"","2025/05/16","환전입금","JPY","0","6168","6168.",".","0",".","","6168.","","","","",""
"","01","","","980.62",".",".",".",".","","",".","","","","",""
"","2025/05/16","기타가환전차액입금","","0","747",".",".","0",".","","747.","","","","",""
"","01","가환전차액입금","JPY","968.5",".",".",".",".","","JPY","9226908.","","","","",""
"","2025/05/19","해외증권_해외주식매수","US93627C1018","19","890.15","848.",".",".71",".","","890.","","","","",""
"","01","해외주식매수","워리어 멧 콜","46.85",".",".",".",".","신한 SOL증권(Android)","USD","-848.","","","","",""
"","2025/05/19","해외증권_해외주식매수","US9119221029","4","412.32","412.",".",".33",".","","412.","","","","",""
"","01","해외주식매수","유나이티드 스테이츠","103.08",".",".",".",".","신한 SOL증권(Android)","USD","-1261.","","","","",""
"","2025/05/19","해외증권_해외주식매수","US03676B1026","48","898.08","898.",".",".72",".","","898.","","","","",""
"","01","해외주식매수","앤테로 미드스트림","18.71",".",".",".",".","신한 SOL증권(Android)","USD","-2159.","","","","",""
"","2025/05/19","해외증권_해외주식매수","US88642R1095","17","711.11","711.",".",".57",".","","711.","","","","",""
"","01","해외주식매수","타이드워터","41.83",".",".",".",".","신한 SOL증권(Android)","USD","-2871.","","","","",""
"","2025/05/19","환전출금","KRW","0","4107882",".",".","0",".","","4107882.","","","","",""
"","01","","대한민국원","0",".",".",".",".","","","5119782.","","","","",""
"","2025/05/19","환전입금","USD","0","2871.5","2871.",".","0",".","","2871.","","","","",""
"","01","","미국달러","1430.57",".",".",".",".","","",".","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/05/19","기타가환전차액입금","","0","99354",".",".","0",".","","99354.","","","","",""
"","01","가환전차액입금","USD","1395.97",".",".",".",".","","USD","5219136.","","","","",""
"","2025/05/20","해외증권_해외주식매수","JP3637270004","2","4154","4164.",".","10",".","","4164.","","","","",""
"","01","해외주식매수","트레져팩토리","2077",".",".",".",".","신한 SOL증권(Android)","JPY","-4164.","","","","",""
"","2025/05/20","환전출금","KRW","0","40744",".",".","0",".","","40744.","","","","",""
"","01","","","0",".",".",".",".","","","5178654.","","","","",""
"","2025/05/20","환전입금","JPY","0","4164","4164.",".","0",".","","4164.","","","","",""
"","01","","","978.47",".",".",".",".","","",".","","","","",""
"","2025/05/20","기타가환전차액입금","","0","391",".",".","0",".","","391.","","","","",""
"","01","가환전차액입금","JPY","969.09",".",".",".",".","","JPY","5179045.","","","","",""
"","2025/05/22","해외증권_해외주식매수","US88642R1095","3","121.68","121.",".",".1",".","","121.","","","","",""
"","01","해외주식매수","타이드워터","40.56",".",".",".",".","신한 SOL증권(Android)","USD","-121.","","","","",""
"","2025/05/22","환전출금","KRW","0","170870",".",".","0",".","","170870.","","","","",""
"","01","","","0",".",".",".",".","","","5008717.","","","","",""
"","2025/05/22","환전입금","USD","0","121.78","121.",".","0",".","","121.","","","","",""
"","01","","","1403.1",".",".",".",".","","",".","","","","",""
"","2025/05/22","기타가환전차액입금","","0","3110",".",".","0",".","","3110.","","","","",""
"","01","가환전차액입금","USD","1377.56",".",".",".",".","","USD","5011827.","","","","",""
"","2025/05/23","해외증권_해외주식매수","US88642R1095","2","79.46","79.",".",".06",".","","79.","","","","",""
"","01","해외주식매수","타이드워터","39.73",".",".",".",".","신한 SOL증권(Android)","USD","-79.","","","","",""
"","2025/05/23","환전출금","KRW","0","112137",".",".","0",".","","112137.","","","","",""
"","01","","","0",".",".",".",".","","","4899935.","","","","",""
"","2025/05/23","환전입금","USD","0","79.52","79.",".","0",".","","79.","","","","",""
"","01","","","1410.17",".",".",".",".","","",".","","","","",""
"","2025/05/23","기타가환전차액입금","","0","2076",".",".","0",".","","2076.","","","","",""
"","01","가환전차액입금","USD","1384.06",".",".",".",".","","USD","4902011.","","","","",""
"","2025/05/26","해외증권_해외주식매수","US88642R1095","4","154.04","154.",".",".12",".","","154.","","","","",""
"","01","해외주식매수","타이드워터","38.51",".",".",".",".","신한 SOL증권(Android)","USD","-154.","","","","",""
"","2025/05/26","해외증권_해외주식매수","US93627C1018","2","89.8","89.",".",".07",".","","89.","","","","",""
"","01","해외주식매수","워리어 멧 콜","44.9",".",".",".",".","신한 SOL증권(Android)","USD","-244.","","","","",""
"","2025/05/26","환전출금","KRW","0","340525",".",".","0",".","","340525.","","","","",""
"","01","","","0",".",".",".",".","","","4562198.","","","","",""
"","2025/05/26","환전입금","USD","0","244.03","244.",".","0",".","","244.","","","","",""
"","01","","","1395.42",".",".",".",".","","",".","","","","",""
"","2025/05/26","기타가환전차액입금","","0","6189",".",".","0",".","","6189.","","","","",""
"","01","가환전차액입금","USD","1370.06",".",".",".",".","","USD","4568387.","","","","",""
"","2025/05/27","해외배당금","USD","0","1.35",".",".","0",".","","1.","","","","",""
"","01","","컴포트 시스템스 US(미국달러)","0",".",".",".",".","","","1.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/05/27","외국납부세액","USD","0",".2",".",".","0",".","",".","","","","",""
"","01","","컴포트 시스템스 US(미국달러)","0",".",".",".",".","","","1.","","","","",""
"","2025/05/30","해외배당금","USD","0",".34",".",".","0",".","",".","","","","",""
"","01","","아이라디메드(미국달러)","0",".",".",".",".","","","1.","","","","",""
"","2025/05/30","외국납부세액","USD","0",".05",".",".","0",".","",".","","","","",""
"","01","","아이라디메드(미국달러)","0",".",".",".",".","","","1.","","","","",""
"","2025/06/02","장내_매수","A466940","62","1003160",".",".","40",".","","1003200.","","","","",""
"","01","매수","TIGER 은행고배당플러스TOP10","16180",".",".",".",".","신한 SOL증권(Android)","","3566405.","","","","",""
"","2025/06/02","장내_매수","A494670","53","1016010",".",".","40",".","","1016050.","","","","",""
"","01","매수","TIGER 조선TOP10","19170",".",".",".",".","신한 SOL증권(Android)","","2550355.","","","","",""
"","2025/06/02","예탁금이용료","","0","68",".",".","0",".","","68.","","","","",""
"","01","","","0",".",".","68.",".","","","2550423.","","","","",""
"","2025/06/09","해외증권_해외주식매수","JP3637270004","3","5448","5462.",".","14",".","","5462.","","","","",""
"","01","해외주식매수","트레져팩토리","1816",".",".",".",".","신한 SOL증권(Android)","JPY","-5462.","","","","",""
"","2025/06/09","환전출금","KRW","0","52376",".",".","0",".","","52376.","","","","",""
"","01","","","0",".",".",".",".","","","2498968.","","","","",""
"","2025/06/09","환전입금","JPY","0","5462","5462.",".","0",".","","5462.","","","","",""
"","01","","","958.9",".",".",".",".","","",".","","","","",""
"","2025/06/09","기타가환전차액입금","","0","499",".",".","0",".","","499.","","","","",""
"","01","가환전차액입금","JPY","949.77",".",".",".",".","","JPY","2499467.","","","","",""
"","2025/06/11","은행이체출금","","0","150000",".",".","0",".","기업은행","150000.","","","","",""
"","01","출금","현민재　　　　　　　","0",".",".",".",".","28611106301011","현민재","2349728.","","","","",""
"","2025/06/13","해외배당금","USD","0",".9",".",".","0",".","",".","","","","",""
"","01","","유나이티드 스테이?미국달러)","0",".",".",".",".","","","2.","","","","",""
"","2025/06/13","외국납부세액","USD","0",".14",".",".","0",".","",".","","","","",""
"","01","","유나이티드 스테이?미국달러)","0",".",".",".",".","","","2.","","","","",""
"","2025/06/18","장내_매도","A466940","62","1067950",".",".","40",".","","1067910.","","","","",""
"","01","매도","TIGER 은행고배당플러스TOP10","17225",".",".",".",".","신한 SOL증권(Android)","","3418314.","","","","",""
"","2025/06/18","장내_매도","A494670","15","313725",".",".","0",".","","313725.","","","","",""
"","01","매도","TIGER 조선TOP10","20915",".",".",".",".","신한 SOL증권(Android)","","3732039.","","","","",""
"","2025/06/18","장내_매도","A494670","38","794960",".",".","40",".","","794920.","","","","",""
"","01","매도","TIGER 조선TOP10","20920",".",".",".",".","신한 SOL증권(Android)","","4526959.","","","","",""
"","2025/06/18","해외증권_해외주식매수","US88642R1095","10","481.1","479.",".",".38",".","","481.","","","","",""
"","01","해외주식매수","타이드워터","48.11",".",".",".",".","신한 SOL증권(Android)","USD","-479.","","","","",""
"","2025/06/18","해외증권_해외주식매수","US88642R1095","10","469.6","469.",".",".38",".","","469.","","","","",""
"","01","해외주식매수","타이드워터","46.96",".",".",".",".","신한 SOL증권(Android)","USD","-949.","","","","",""
"","2025/06/18","환전출금","KRW","0","1338134",".",".","0",".","","1338134.","","","","",""
"","01","","","0",".",".",".",".","","","3188825.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/06/18","환전입금","USD","0","949.26","949.",".","0",".","","949.","","","","",""
"","01","","","1409.66",".",".",".",".","","",".","","","","",""
"","2025/06/18","기타가환전차액입금","","0","30186",".",".","0",".","","30186.","","","","",""
"","01","가환전차액입금","USD","1377.86",".",".",".",".","","USD","3219011.","","","","",""
"","2025/06/19","장내_매수","A466940","177","3142635",".",".","130",".","","3142765.","","","","",""
"","01","매수","TIGER 은행고배당플러스TOP10","17755",".",".",".",".","신한 SOL증권(Android)","","76250.","","","","",""
"","2025/06/19","해외배당금","USD","0","1.1",".",".","0",".","","1.","","","","",""
"","01","","인터내셔널 제너럴 (미국달러)","0",".",".",".",".","","","1.","","","","",""
"","2025/06/25","해외증권_해외주식매도","US1999081045","3","1509.96",".",".","1.21",".","","1508.","","","","",""
"","01","해외주식매도","컴포트 시스템스 USA","503.32",".",".",".",".","신한 SOL증권(Android)","USD","1509.","","","","",""
"","2025/06/25","해외증권_해외주식매수","US88642R1095","10","447.8",".",".",".36",".","","448.","","","","",""
"","01","해외주식매수","타이드워터","44.78",".",".",".",".","신한 SOL증권(Android)","USD","1061.","","","","",""
"","2025/06/26","해외증권_해외주식매수","US88642R1095","10","447.9",".",".",".36",".","","448.","","","","",""
"","01","해외주식매수","타이드워터","44.79",".",".",".",".","신한 SOL증권(Android)","USD","613.","","","","",""
"","2025/06/30","은행이체입금","","0","1400000",".",".","0",".","","1400000.","","","","",""
"","01","입금","신한증권오픈뱅킹","0",".",".",".",".","","신한증권오픈뱅킹","1476295.","","","","",""
"","2025/07/02","해외증권_해외주식매수","US88642R1095","10","467",".",".",".37",".","","467.","","","","",""
"","01","해외주식매수","타이드워터","46.7",".",".",".",".","신한 SOL증권(Android)","USD","146.","","","","",""
"","2025/07/02","ETF분배금","A466940","0","12036",".",".","0",".","","10196.","","","","",""
"","01","","TIGER 은행고배당플러스TOP10","0",".",".",".","1840.","","","1486628.","","","","",""
"","2025/07/03","해외증권_해외주식매도","US93627C1018","44","1921.92",".",".","1.54",".","","1920.","","","","",""
"","01","해외주식매도","워리어 멧 콜","43.68",".",".",".",".","신한 SOL증권(Android)","USD","2066.","","","","",""
"","2025/07/03","해외증권_해외주식매수","US1999081045","1","518.04",".",".",".41",".","","518.","","","","",""
"","01","해외주식매수","컴포트 시스템스 USA","518.04",".",".",".",".","신한 SOL증권(Android)","USD","1547.","","","","",""
"","2025/07/04","해외증권_해외주식매수","US88642R1095","10","487.5",".",".",".39",".","","487.","","","","",""
"","01","해외주식매수","타이드워터","48.75",".",".",".",".","신한 SOL증권(Android)","USD","1060.","","","","",""
"","2025/07/04","해외증권_해외주식매수","US88642R1095","10","485.2",".",".",".39",".","","485.","","","","",""
"","01","해외주식매수","타이드워터","48.52",".",".",".",".","신한 SOL증권(Android)","USD","574.","","","","",""
"","2025/07/04","해외증권_해외주식매수","US0008991046","1","17.88",".",".",".01",".","","17.","","","","",""
