종목코드,잔고수량,주문가능수량,평균단가,매입금액,미실현손익,신용금액,매수일,매입환율,종목명,구분,보유비중,현재가,평가금액,수익률,대출일,만기일,현재환율
JP3637270004,194,194,1683.,3078926,60592,0,,9.42,트레져팩토리,현금,.00,1715.,3139518,1.97,,,9.43
US14888U1016,63,63,23.,2138631,82860,0,,1447.15,캐털리스트 파머슈티컬스(CATALYST PHARMACEUTICALS..,현금,.00,24.,2221491,3.87,,,1457.70
US33817P4054,95,95,19.,2536445,-547851,0,,1400.84,핏라이프 브랜즈(FITLIFE BRANDS INC),현금,.00,14.,1988594,-21.60,,,1457.70
US8085248628,82,82,24.,2930366,-14996,0,,1466.40,SCHWAB SHORT TERM US TREASURY,현금,.00,24.,2915370,-0.51,,,1457.70
US88642R1095,161,161,49.,11121742,5100010,0,,1388.12,타이드워터(TIDEWATER INC NEW),현금,.00,69.,16221752,45.86,,,1457.70
US9119221029,17,17,122.,3014336,-349894,0,,1442.48,유나이티드 스테이츠 라임 앤드 미네랄스(UNITED ST..,현금,.00,107.,2664442,-11.61,,,1457.70
US93627C1018,24,24,76.,2611273,592285,0,,1424.00,워리어 멧 콜(WARRIOR MET COAL INC),현금,.00,91.,3203558,22.68,,,1457.70
