Date,Anchor_Asset,External_Flow,Calculated_Asset,Prev_Asset,Daily_Return,Cumulative_TWR,Invested_Principal,Simple_Return,Peak,Drawdown
2025-01-01,15892620.0,0.0,15892620.0,,0.0,0.0,15892620.0,0.0,15892620.0,0.0
2025-01-02,,0.0,15877901.0,15892620.0,-0.0009261531452963156,-0.0009261531452963156,15892620.0,-0.0009261531452963156,15892620.0,-0.0009261531452963703
2025-01-03,,0.0,15863183.0,15877901.0,-0.0009269487194812909,-0.001852243368305584,15892620.0,-0.001852243368305584,15892620.0,-0.0018522433683055405
2025-01-04,,0.0,15848464.0,15863183.0,-0.0009278717896654687,-0.0027783965136020106,15892620.0,-0.0027783965136018995,15892620.0,-0.002778396513601911
2025-01-05,,0.0,15833745.0,15848464.0,-0.0009287335353129755,-0.0037045496588984372,15892620.0,-0.003704549658898326,15892620.0,-0.003704549658898281
2025-01-06,,0.0,15819027.0,15833745.0,-0.000929533726859999,-0.0046306398819077055,15892620.0,-0.0046306398819074834,15892620.0,-0.004630639881907451
2025-01-07,,0.0,15804308.0,15819027.0,-0.0009304617787174729,-0.005556793027204021,15892620.0,-0.005556793027203799,15892620.0,-0.005556793027203822
2025-01-08,,0.0,15789589.0,15804308.0,-0.0009313283441451103,-0.006482946172500337,15892620.0,-0.006482946172500226,15892620.0,-0.006482946172500192
2025-01-09,,0.0,15774870.0,15789589.0,-0.0009321965251913866,-0.0074090993177967635,15892620.0,-0.007409099317796541,15892620.0,-0.007409099317796562
2025-01-10,,0.0,15760152.0,15774870.0,-0.0009330029344140067,-0.00833518954080592,15892620.0,-0.008335189540805699,15892620.0,-0.008335189540805733
2025-01-11,,0.0,15745433.0,15760152.0,-0.0009339376929866638,-0.009261342686102236,15892620.0,-0.009261342686102125,15892620.0,-0.009261342686102103
2025-01-12,,0.0,15730714.0,15745433.0,-0.0009348107479800749,-0.010187495831398663,15892620.0,-0.010187495831398441,15892620.0,-0.010187495831398472
2025-01-13,,0.0,15715996.0,15730714.0,-0.0009356218668777894,-0.01111358605440782,15892620.0,-0.011113586054407598,15892620.0,-0.011113586054407643
2025-01-14,,0.0,15701277.0,15715996.0,-0.0009365617043933794,-0.012039739199704136,15892620.0,-0.012039739199704025,15892620.0,-0.012039739199704013
2025-01-15,,0.0,15686558.0,15701277.0,-0.0009374396744926683,-0.012965892345000452,15892620.0,-0.01296589234500034,15892620.0,-0.012965892345000384
2025-01-16,,0.0,15671840.0,15686558.0,-0.0009382555433766759,-0.013891982568009609,15892620.0,-0.013891982568009609,15892620.0,-0.013891982568009555
2025-01-17,,0.0,15657121.0,15671840.0,-0.0009392005023022287,-0.014818135713306035,15892620.0,-0.014818135713305924,15892620.0,-0.014818135713305924
2025-01-18,,0.0,15642402.0,15657121.0,-0.0009400834291311,-0.015744288858602462,15892620.0,-0.01574428885860224,15892620.0,-0.015744288858602296
2025-01-19,,0.0,15627683.0,15642402.0,-0.0009409680175717083,-0.016670442003898778,15892620.0,-0.016670442003898667,15892620.0,-0.016670442003898663
2025-01-20,,0.0,15612965.0,15627683.0,-0.0009417902833068759,-0.017596532226907935,15892620.0,-0.017596532226907824,15892620.0,-0.017596532226907834
2025-01-21,,0.0,15598246.0,15612965.0,-0.0009427421377041778,-0.01852268537220436,15892620.0,-0.01852268537220425,15892620.0,-0.018522685372204205
2025-01-22,,0.0,15583527.0,15598246.0,-0.0009436317391070537,-0.019448838517500677,15892620.0,-0.019448838517500566,15892620.0,-0.019448838517500577
2025-01-23,,0.0,15568809.0,15583527.0,-0.0009444588506825058,-0.020374928740509834,15892620.0,-0.020374928740509723,15892620.0,-0.020374928740509748
2025-01-24,,0.0,15554090.0,15568809.0,-0.0009454159274482343,-0.02130108188580615,15892620.0,-0.02130108188580615,15892620.0,-0.021301081885806115
2025-01-25,,0.0,15539371.0,15554090.0,-0.0009463105845471942,-0.022227235031102466,15892620.0,-0.022227235031102466,15892620.0,-0.022227235031102487
2025-01-26,,0.0,15524653.0,15539371.0,-0.0009471425838278869,-0.023153325254111623,15892620.0,-0.023153325254111623,15892620.0,-0.023153325254111658
2025-01-27,,0.0,15509934.0,15524653.0,-0.000948104927047333,-0.02407947839940805,15892620.0,-0.02407947839940805,15892620.0,-0.024079478399408025
2025-01-28,,0.0,15495215.0,15509934.0,-0.0009490046830631371,-0.025005631544704476,15892620.0,-0.025005631544704365,15892620.0,-0.025005631544704397
2025-01-29,,0.0,15480496.0,15495215.0,-0.0009499061484464777,-0.025931784690000903,15892620.0,-0.025931784690000792,15892620.0,-0.025931784690000768
2025-01-30,,0.0,15465778.0,15480496.0,-0.0009507447306598138,-0.02685787491301006,15892620.0,-0.02685787491300995,15892620.0,-0.02685787491300994
2025-01-31,15151059.0,-300000.0,15151059.0,15465778.0,-0.0009705403837508841,-0.027802348644536123,15592620.0,-0.028318589178726872,15892620.0,-0.04666071421829755
2025-02-01,,0.0,15115631.0,15151059.0,-0.002338318397413719,-0.030075656298622966,15592620.0,-0.030590689698075102,15892620.0,-0.04888992500921811
2025-02-02,,0.0,15080202.0,15115631.0,-0.0023438651022904544,-0.03234902811968654,15592620.0,-0.03286285435032732,15892620.0,-0.05111919872242588
2025-02-03,,800000.0,15844774.0,15080202.0,-0.002230953989124318,-0.034507812915482994,16392620.0,-0.03342028302980249,15892620.0,-0.003010579753369803
2025-02-04,,0.0,15809346.0,15844774.0,-0.002235942273458691,-0.036666597711279336,16392620.0,-0.03558149947964384,15892620.0,-0.005239790544290369
2025-02-05,,0.0,15773918.0,15809346.0,-0.002240952914813854,-0.03882538250707579,16392620.0,-0.037742715929485304,15892620.0,-0.007469001335210935
2025-02-06,,0.0,15738489.0,15773918.0,-0.0022460494596205915,-0.04098422823729675,16392620.0,-0.039903993382387926,15892620.0,-0.0096982750484187
2025-02-07,,-3000000.0,12703061.0,15738489.0,-0.0027811775792246918,-0.04365142139984601,13392620.0,-0.0514879836805644,15892620.0,-0.20069434743925169
2025-02-08,,0.0,12667633.0,12703061.0,-0.00278893410021408,-0.04631861456239528,13392620.0,-0.05413332118734049,15892620.0,-0.20292355823017225
2025-02-09,,0.0,12632204.0,12667633.0,-0.002796812948401617,-0.04898588300983675,13392620.0,-0.05677873336210537,15892620.0,-0.20515283194338002
2025-02-10,,0.0,12596776.0,12632204.0,-0.002804577886804216,-0.051653076172386014,13392620.0,-0.05942407086888157,15892620.0,-0.20738204273430058
2025-02-11,,0.0,12561348.0,12596776.0,-0.0028124656658179426,-0.05432026933493528,13392620.0,-0.062069408375657664,15892620.0,-0.20961125352522114
2025-02-12,,0.0,12525920.0,12561348.0,-0.002820397938183117,-0.05698746249748454,13392620.0,-0.06471474588243376,15892620.0,-0.2118404643161417
2025-02-13,,0.0,12490491.0,12525920.0,-0.002828454915886458,-0.059654730944926126,13392620.0,-0.06736015805719864,15892620.0,-0.21406973802934948
2025-02-14,,0.0,12455063.0,12490491.0,-0.002836397704461757,-0.06232192410747539,13392620.0,-0.07000549556397484,15892620.0,-0.21629894882027004
2025-02-15,,0.0,12419635.0,12455063.0,-0.0028444657405586327,-0.06498911727002465,13392620.0,-0.07265083307075093,15892620.0,-0.2185281596111906
2025-02-16,,0.0,12384206.0,12419635.0,-0.002852660323753531,-0.06765638571746624,13392620.0,-0.07529624524551581,15892620.0,-0.22075743332439837
2025-02-17,,0.0,12348778.0,12384206.0,-0.002860740527087513,-0.0703235788800155,13392620.0,-0.0779415827522919,15892620.0,-0.22298664411531893
2025-02-18,,0.0,12313350.0,12348778.0,-0.002868947842450509,-0.07299077204256477,13392620.0,-0.0805869202590681,15892620.0,-0.2252158549062395
2025-02-19,,0.0,12277922.0,12313350.0,-0.002877202386028177,-0.07565796520511403,13392620.0,-0.0832322577658442,15892620.0,-0.22744506569716005
2025-02-20,,0.0,12242493.0,12277922.0,-0.0028855860136592915,-0.0783252336525555,13392620.0,-0.08587766994060908,15892620.0,-0.22967433941036783
