Date,Anchor_Asset,External_Flow,Calculated_Asset
2025-06-01,,0.0,21928643.0
2025-06-02,,0.0,21964346.0
2025-06-03,,0.0,22000048.0
2025-06-04,,0.0,22035751.0
2025-06-05,,0.0,22071454.0
2025-06-06,,0.0,22107157.0
2025-06-07,,0.0,22142860.0
2025-06-08,,0.0,22178563.0
2025-06-09,,0.0,22214265.0
2025-06-10,,0.0,22249968.0
2025-06-11,,-150000.0,22135671.0
2025-06-12,,0.0,22171374.0
2025-06-13,,0.0,22207077.0
2025-06-14,,0.0,22242780.0
2025-06-15,,0.0,22278482.0
2025-06-16,,0.0,22314185.0
2025-06-17,,0.0,22349888.0
2025-06-18,,0.0,22385591.0
2025-06-19,,1.0,22421295.0
2025-06-20,,0.0,22456998.0
2025-06-21,,0.0,22492700.0
2025-06-22,,0.0,22528403.0
2025-06-23,,0.0,22564106.0
2025-06-24,,0.0,22599809.0
2025-06-25,,0.0,22635512.0
2025-06-26,,0.0,22671215.0
2025-06-27,,0.0,22706917.0
2025-06-28,,0.0,22742620.0
2025-06-29,,0.0,22778323.0
2025-06-30,24214026.0,1400000.0,24214026.0
2025-07-01,,0.0,24318145.0
2025-07-02,,0.0,24422265.0
2025-07-03,,0.0,24526384.0
2025-07-04,,0.0,24630504.0
2025-07-05,,0.0,24734623.0
2025-07-06,,0.0,24838743.0
2025-07-07,,0.0,24942862.0
2025-07-08,,0.0,25046982.0
2025-07-09,,0.0,25151101.0
2025-07-10,,0.0,25255221.0
2025-07-11,,0.0,25359340.0
2025-07-12,,0.0,25463460.0
2025-07-13,,0.0,25567579.0
2025-07-14,,0.0,25671699.0
2025-07-15,,0.0,25775818.0
2025-07-16,,0.0,25879938.0
2025-07-17,,0.0,25984057.0
2025-07-18,,0.0,26088177.0
2025-07-19,,0.0,26192296.0
2025-07-20,,0.0,26296416.0
2025-07-21,,0.0,26400535.0
2025-07-22,,0.0,26504655.0
2025-07-23,,0.0,26608774.0
2025-07-24,,0.0,26712894.0
2025-07-25,,0.0,26817013.0
2025-07-26,,0.0,26921133.0
2025-07-27,,-3264714.0,23760538.0
2025-07-28,,0.0,23864658.0
2025-07-29,,0.0,23968777.0
2025-07-30,,0.0,24072897.0
2025-07-31,24177016.0,0.0,24177016.0
2025-08-01,,0.0,24292109.0
2025-08-02,,0.0,24407202.0
2025-08-03,,0.0,24522295.0
2025-08-04,,1400000.0,26037389.0
2025-08-05,,0.0,26152482.0
2025-08-06,,11.0,26267586.0
2025-08-07,,0.0,26382679.0
2025-08-08,,0.0,26497772.0
2025-08-09,,0.0,26612865.0
2025-08-10,,0.0,26727958.0
2025-08-11,,0.0,26843051.0
2025-08-12,,0.0,26958145.0
2025-08-13,,500000.0,27573238.0
2025-08-14,,0.0,27688331.0
2025-08-15,,0.0,27803424.0
2025-08-16,,0.0,27918517.0
2025-08-17,,0.0,28033610.0
2025-08-18,,0.0,28148703.0
2025-08-19,,0.0,28263796.0
2025-08-20,,0.0,28378890.0
2025-08-21,,0.0,28493983.0
2025-08-22,,0.0,28609076.0
2025-08-23,,0.0,28724169.0
2025-08-24,,0.0,28839262.0
2025-08-25,,0.0,28954355.0
2025-08-26,,0.0,29069448.0
2025-08-27,,0.0,29184541.0
2025-08-28,,0.0,29299635.0
2025-08-29,,0.0,29414728.0
2025-08-30,,0.0,29529821.0
2025-08-31,29644914.0,0.0,29644914.0
2025-09-01,,0.0,29586897.0
2025-09-02,,0.0,29528880.0
2025-09-03,,0.0,29470863.0
2025-09-04,,1000000.0,30412846.0
2025-09-05,,0.0,30354829.0
2025-09-06,,0.0,30296812.0
2025-09-07,,0.0,30238795.0
2025-09-08,,0.0,30180778.0
2025-09-09,,0.0,30122761.0
2025-09-10,,0.0,30064744.0
2025-09-11,,0.0,30006727.0
2025-09-12,,0.0,29948710.0
2025-09-13,,0.0,29890693.0
2025-09-14,,0.0,29832676.0
2025-09-15,,-823692.0,28950966.0
2025-09-16,,0.0,28892949.0
2025-09-17,,0.0,28834932.0
2025-09-18,,0.0,28776915.0
2025-09-19,,-849413.0,27869485.0
2025-09-20,,0.0,27811468.0
2025-09-21,,0.0,27753451.0
2025-09-22,,0.0,27695434.0
2025-09-23,,0.0,27637417.0
2025-09-24,,0.0,27579400.0
2025-09-25,,0.0,27521383.0
2025-09-26,,0.0,27463366.0
2025-09-27,,0.0,27405349.0
2025-09-28,,0.0,27347332.0
2025-09-29,,0.0,27289315.0
2025-09-30,27231298.0,0.0,27231298.0
2025-10-01,,0.0,27207353.0
2025-10-02,,0.0,27183409.0
2025-10-03,,0.0,27159464.0
2025-10-04,,0.0,27135520.0
2025-10-05,,0.0,27111575.0
2025-10-06,,0.0,27087630.0
2025-10-07,,0.0,27063686.0
2025-10-08,,0.0,27039741.0
2025-10-09,,0.0,27015796.0
2025-10-10,,0.0,26991852.0
2025-10-11,,0.0,26967907.0
2025-10-12,,0.0,26943963.0
2025-10-13,,0.0,26920018.0
2025-10-14,,0.0,26896073.0
2025-10-15,,0.0,26872129.0
2025-10-16,,0.0,26848184.0
2025-10-17,,0.0,26824240.0
2025-10-18,,0.0,26800295.0
2025-10-19,,0.0,26776350.0
2025-10-20,,0.0,26752406.0
2025-10-21,,0.0,26728461.0
2025-10-22,,0.0,26704517.0
2025-10-23,,1400000.0,28080572.0
2025-10-24,,0.0,28056627.0
2025-10-25,,0.0,28032683.0
2025-10-26,,0.0,28008738.0
2025-10-27,,0.0,27984793.0
2025-10-28,,0.0,27960849.0
2025-10-29,,0.0,27936904.0
2025-10-30,,0.0,27912960.0
2025-10-31,27889015.0,0.0,27889015.0
2025-11-01,,0.0,27986405.0
2025-11-02,,0.0,28083795.0
2025-11-03,,0.0,28181184.0
2025-11-04,,676.0,28279250.0
2025-11-05,,0.0,28376640.0
2025-11-06,,0.0,28474030.0
2025-11-07,,0.0,28571419.0
2025-11-08,,0.0,28668809.0
2025-11-09,,0.0,28766199.0
2025-11-10,,0.0,28863589.0
2025-11-11,,0.0,28960978.0
2025-11-12,,0.0,29058368.0
2025-11-13,,0.0,29155758.0
2025-11-14,,0.0,29253148.0
2025-11-15,,0.0,29350537.0
2025-11-16,,0.0,29447927.0
2025-11-17,,2.0,29545319.0
2025-11-18,,0.0,29642709.0
2025-11-19,,0.0,29740099.0
2025-11-20,,0.0,29837488.0
2025-11-21,,0.0,29934878.0
2025-11-22,,0.0,30032268.0
2025-11-23,,0.0,30129658.0
2025-11-24,,0.0,30227047.0
2025-11-25,,0.0,30324437.0
2025-11-26,,0.0,30421827.0
2025-11-27,,0.0,30519217.0
2025-11-28,,0.0,30616606.0
2025-11-29,,0.0,30713996.0
2025-11-30,30811386.0,0.0,30811386.0
2025-12-01,,0.0,30764628.0
2025-12-02,,0.0,30717871.0
2025-12-03,,0.0,30671113.0
2025-12-04,,0.0,30624356.0
2025-12-05,,0.0,30577598.0
2025-12-06,,0.0,30530840.0
2025-12-07,,0.0,30484083.0
2025-12-08,,5.0,30437330.0
2025-12-09,,0.0,30390572.0
2025-12-10,,1300000.0,31643815.0
2025-12-11,,0.0,31597057.0
2025-12-12,,0.0,31550300.0
2025-12-13,,0.0,31503542.0
2025-12-14,,0.0,31456784.0
2025-12-15,,1.0,31410028.0
2025-12-16,,0.0,31363270.0
2025-12-17,,0.0,31316513.0
2025-12-18,,0.0,31269755.0
2025-12-19,,0.0,31222997.0
2025-12-20,,0.0,31176240.0
2025-12-21,,0.0,31129482.0
2025-12-22,,0.0,31082725.0
2025-12-23,,0.0,31035967.0
2025-12-24,,0.0,30989209.0
2025-12-25,,0.0,30942452.0
2025-12-26,,6.0,30895700.0
2025-12-27,,0.0,30848942.0
2025-12-28,,0.0,30802185.0
2025-12-29,,0.0,30755427.0
2025-12-30,,0.0,30708670.0
2025-12-31,30661912.0,0.0,30661912.0
2026-01-01,,0.0,30747179.0
2026-01-02,,0.0,30832446.0
2026-01-03,,0.0,30917713.0
2026-01-04,,0.0,31002980.0
2026-01-05,,0.0,31088247.0
2026-01-06,,0.0,31173514.0
2026-01-07,,0.0,31258781.0
2026-01-08,,0.0,31344048.0
2026-01-09,,0.0,31429315.0
2026-01-10,,0.0,31514582.0
2026-01-11,,0.0,31599849.0
2026-01-12,,0.0,31685116.0
2026-01-13,,0.0,31770383.0
2026-01-14,,-100000.0,31755650.0
2026-01-15,,0.0,31840917.0
2026-01-16,,0.0,31926185.0
2026-01-17,,0.0,32011452.0
2026-01-18,,0.0,32096719.0
2026-01-19,,-277572.0,31904414.0
2026-01-20,,0.0,31989681.0
2026-01-21,,0.0,32074948.0
2026-01-22,,0.0,32160215.0
2026-01-23,,0.0,32245482.0
2026-01-24,,0.0,32330749.0
2026-01-25,,0.0,32416016.0
2026-01-26,,0.0,32501283.0
2026-01-27,,0.0,32586550.0
2026-01-28,,0.0,32671817.0
2026-01-29,,0.0,32757084.0
2026-01-30,,0.0,32842351.0
2026-01-31,32927618.0,0.0,32927618.0
2026-02-01,,0.0,33064909.0
2026-02-02,,0.0,33202200.0
2026-02-03,,0.0,33339491.0
2026-02-04,,-144986.0,33331796.0
2026-02-05,,0.0,33469087.0
2026-02-06,,0.0,33606378.0
2026-02-07,,0.0,33743669.0
2026-02-08,,0.0,33880960.0
2026-02-09,,6.0,34018257.0
2026-02-10,,0.0,34155548.0
2026-02-11,,0.0,34292839.0
2026-02-12,,0.0,34430130.0
2026-02-13,,0.0,34567421.0
2026-02-14,,0.0,34704712.0
2026-02-15,,0.0,34842003.0
2026-02-16,,0.0,34979294.0
2026-02-17,,0.0,35116585.0
2026-02-18,,0.0,35253876.0
2026-02-19,,0.0,35391167.0
2026-02-20,35528458.0,0.0,35528458.0
